gene_id,condition,direction,endpoint_shift,recovery_shift,reversibility_index,persistence_breadth
AT1G07400,drought,up,1.097722132666667,0.48680769500000043,0.5565292158067257,1
AT1G07520,drought,up,0.937980281333334,0.4686108643333329,0.5004043542714938,2
AT1G07620,drought,up,0.9530918553333327,0.9184961906666667,0.036298353063322186,3
AT1G07630,drought,up,1.1688938726666684,0.503420105,0.5693192369538929,1
AT1G07870,drought,up,1.3499757353333335,0.4276186596666669,0.6832397438898559,2
AT1G07890,drought,up,1.023691753333333,0.7709600333333331,0.24688263745122285,1
AT1G07900,drought,up,1.686877976666667,0.597314674666666,0.6459052267390545,3
AT1G08050,drought,up,0.34930010466666594,0.9188023510000001,-1.6304096068817535,4
AT1G08450,drought,up,0.8289699466666676,1.164364459999998,-0.4045918850037564,4
AT1G08830,drought,down,-0.9159953243333323,-0.4158932130000004,0.5459657904884063,3
AT1G08940,drought,up,1.1162670619999995,0.4857454170000004,0.564848383029687,1
AT1G09070,drought,up,0.41677370266666713,0.7883511793333344,-0.8915569151536715,2
AT1G09080,drought,up,0.9594409266666668,1.9654798426666673,-1.0485678565904277,2
AT1G09100,drought,up,1.3411063016666667,0.47901618066666884,0.6428201253909782,1
AT1G09500,drought,up,5.162425012333332,1.1282676893333328,0.7814461834045364,7
AT1G09560,drought,up,1.2703578479999997,0.7430837266666668,0.41505952213657915,3
AT1G09932,drought,up,0.6577126813333329,1.4280499413333336,-1.1712367449542742,4
AT1G09970,drought,up,1.1048388583333342,0.6472487613333335,0.4141690831641115,2
AT1G10050,drought,up,1.1896258853333341,0.47761809299999936,0.5985140379942469,1
AT1G10070,drought,up,4.380464296,1.0815782316666676,0.7530905039782414,6
AT1G10170,drought,up,0.7214199356666668,0.3492668866666655,0.5158618865392087,1
AT1G10410,drought,up,1.4250295016666676,0.4032925669999994,0.7169935313421079,1
AT1G10920,drought,up,0.8381866936666666,0.5249126930000001,0.37375205671214173,1
AT1G11310,drought,up,0.5267845999999992,0.4673286733333324,0.11286572664931138,2
AT1G11330,drought,up,0.9617990543333335,1.0210401953333346,-0.06159409362391588,4
AT1G12200,drought,up,1.0798704666666676,0.44644606399999986,0.5865744292664242,1
AT1G12210,drought,up,0.6990217729999992,0.4472712073333316,0.36014695877959146,1
AT1G12220,drought,up,0.6034485589999994,0.36946525033333266,0.38774358671832865,1
AT1G12520,drought,down,-0.6934865293333345,-0.4244409486666658,0.3879607884024925,3
AT1G13000,drought,up,0.8413482396666687,0.4617056646666686,0.45123119904596176,1
AT1G13060,drought,up,1.0026753133333308,0.39091492999999744,0.610128099493718,1
AT1G13210,drought,up,0.3814819329999999,0.6743301783333351,-0.7676595403361743,2
AT1G13470,drought,up,0.4869532063333324,1.4695151946666662,-2.0177749639063762,2
